**********************************************
*******  Acceleration Time Series ************
*** Site #   1
*** trial    1
Input Parameters file =  M6d5S130_parameters.out                                                                                                 
 65536 samples
dt:  0.002 sec
data format: (1x,f8.3,1p,2x,e11.4)
maximum absolute acceleration: 353.45
Mag.          =    6.50
siteCoord1    =    0.36
siteCoord2    =    0.01
depth         =    3.00
fault Dis.(km)=   10.24
Hypo  Dis.(km)=   35.40
  time(s) acc(cm/s**2)
    0.000   0.0000E+00
    0.002   0.0000E+00
    0.004   0.0000E+00
    0.006   0.0000E+00
    0.008   0.0000E+00
    0.010   0.0000E+00
    0.012   0.0000E+00
    0.014   0.0000E+00
    0.016   0.0000E+00
    0.018   0.0000E+00
    0.020   0.0000E+00
    0.022   0.0000E+00
    0.024   0.0000E+00
    0.026   0.0000E+00
    0.028   0.0000E+00
    0.030   0.0000E+00
    0.032   0.0000E+00
    0.034   0.0000E+00
    0.036   0.0000E+00
    0.038   0.0000E+00
    0.040   7.8905E-01
    0.042   7.9241E-01
    0.044   7.9306E-01
    0.046   7.8616E-01
    0.048   7.6701E-01
    0.050   7.3203E-01
    0.052   6.7952E-01
    0.054   6.0999E-01
    0.056   5.2604E-01
    0.058   4.3203E-01
    0.060   3.3343E-01
    0.062   2.3612E-01
    0.064   1.4561E-01
    0.066   6.6414E-02
    0.068   1.5289E-03
    0.070  -4.7856E-02
    0.072  -8.2357E-02
    0.074  -1.0410E-01
    0.076  -1.1618E-01
    0.078  -1.2187E-01
    0.080  -1.2394E-01
    0.082  -1.2403E-01
    0.084  -1.2262E-01
    0.086  -1.1930E-01
    0.088  -1.1338E-01
    0.090  -1.0440E-01
    0.092  -9.2312E-02
    0.094  -7.7387E-02
    0.096  -6.0000E-02
    0.098  -4.0389E-02
    0.100  -1.8552E-02
    0.102   5.7227E-03
    0.104   3.2751E-02
    0.106   6.2800E-02
    0.108   9.5957E-02
    0.110   1.3199E-01
    0.112   1.7023E-01
    0.114   2.0944E-01
    0.116   2.4769E-01
    0.118   2.8237E-01
    0.120   3.1030E-01
    0.122   3.2801E-01
    0.124   3.3207E-01
    0.126   3.1950E-01
    0.128   2.8824E-01
    0.130   2.3753E-01
    0.132   1.6820E-01
    0.134   8.2824E-02
    0.136  -1.4337E-02
    0.138  -1.1762E-01
    0.140  -2.2053E-01
    0.142  -3.1654E-01
    0.144  -3.9988E-01
    0.146  -4.6620E-01
    0.148  -5.1290E-01
    0.150  -5.3912E-01
    0.152  -5.4554E-01
    0.154  -5.3402E-01
    0.156  -5.0735E-01
    0.158  -4.6902E-01
    0.160  -4.2303E-01
    0.162  -3.7363E-01
    0.164  -3.2510E-01
    0.166  -2.8136E-01
    0.168  -2.4572E-01
    0.170  -2.2064E-01
    0.172  -2.0751E-01
    0.174  -2.0664E-01
    0.176  -2.1724E-01
    0.178  -2.3745E-01
    0.180  -2.6438E-01
    0.182  -2.9441E-01
    0.184  -3.2360E-01
    0.186  -3.4836E-01
    0.188  -3.6607E-01
    0.190  -3.7540E-01
    0.192  -3.7627E-01
    0.194  -3.6935E-01
    0.196  -3.5559E-01
    0.198  -3.3573E-01
    0.200  -3.1022E-01
    0.202  -2.7932E-01
    0.204  -2.4344E-01
    0.206  -2.0339E-01
    0.208  -1.6046E-01
    0.210  -1.1635E-01
    0.212  -7.2909E-02
    0.214  -3.1765E-02
