Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,a1,a2,sd1,sd2,sb1,sb2,db1,db2,db3,db4,db5,db6,db7,db8,db9,db10,da1,da2,dsd1,dsd2
0.0,1.74221,0.193,-0.07049,-1.18164,0.17,8.0,-0.354,-0.01329,-0.09158,-0.00156,0.57,0.45,1.0521,0.7203,-0.41997,-0.28846,-0.21234,-0.146,-0.03826,0.1721,-0.12,0.0,0.396,-0.11697,0.0,0.00156,0.12,0.05,-0.0808,-0.325
-1.0,5.58266,0.193,-0.13822,-0.94043,0.17,8.0,-0.354,-0.17037,-0.08609,-0.00052,0.56,0.46,1.0449,0.6452,-0.72057,-0.19688,0.20834,-0.146,-0.05505,0.0489,-0.12,0.0,0.396,0.17037,0.0,0.00052,0.14,-0.02,-0.0597,-0.3013
0.01,1.75746,0.193,-0.06981,-1.18362,0.17,8.0,-0.354,-0.01349,-0.09158,-0.00156,0.574,0.453,1.0444,0.715,-0.41729,-0.28685,-0.22738,-0.146,-0.03877,0.1741,-0.12,0.0,0.396,-0.11677,0.0,0.00156,0.116,0.047,-0.0723,-0.3231
0.02,1.78825,0.193,-0.07058,-1.18653,0.17,8.0,-0.354,-0.01189,-0.09158,-0.0016,0.577,0.455,1.0424,0.7137,-0.39998,-0.28241,-0.241,-0.146,-0.03674,0.1759,-0.12,0.0,0.396,-0.11837,0.0,0.0016,0.113,0.045,-0.0701,-0.318
0.03,1.87916,0.193,-0.06976,-1.19699,0.17,8.0,-0.354,-0.00748,-0.09158,-0.0017,0.581,0.458,1.0459,0.7113,-0.34799,-0.26842,-0.25702,-0.146,-0.0337,0.1691,-0.12,0.0,0.396,-0.12278,0.0,0.0017,0.109,0.042,-0.0705,-0.3143
0.04,2.00393,0.193,-0.06732,-1.21315,0.17,8.0,-0.354,0.00788,-0.09158,-0.00182,0.584,0.46,1.0557,0.7155,-0.27572,-0.24759,-0.2526,-0.146,-0.0285,0.1603,-0.12,0.0,0.396,-0.13814,0.0,0.00182,0.106,0.04,-0.0597,-0.3064
0.05,2.16076,0.193,-0.06226,-1.24101,0.17,8.0,-0.354,0.03907,-0.09158,-0.00197,0.588,0.463,1.0609,0.7166,-0.21231,-0.22385,-0.24029,-0.146,-0.02834,0.1614,-0.12,0.0,0.396,-0.16933,0.0,0.00197,0.122,0.037,-0.07,-0.277
0.075,2.52625,0.193,-0.05082,-1.3039,0.17,8.0,-0.354,0.08131,-0.09158,-0.00235,0.597,0.469,1.0692,0.7677,-0.13909,-0.17798,-0.13086,-0.146,-0.03978,0.1655,-0.12,0.0,0.396,-0.21157,0.0,0.00235,0.143,0.031,-0.0994,-0.3045
0.1,2.72364,0.193,-0.05217,-1.32996,0.17,8.0,-0.354,0.1,-0.09158,-0.00267,0.606,0.475,1.0429,0.7735,-0.26492,-0.28832,-0.02321,-0.146,-0.03843,0.1596,-0.12,0.0,0.396,-0.23026,0.0,0.00267,0.154,0.025,-0.0486,-0.3358
0.11,2.79879,0.193,-0.05423,-1.33631,0.17,8.0,-0.354,0.1,-0.09158,-0.00277,0.61,0.478,1.0324,0.7871,-0.31346,-0.31798,-0.05859,-0.146,-0.03653,0.171,-0.12,0.0,0.396,-0.23026,0.0,0.00277,0.15,0.022,-0.0299,-0.3353
